ts,eth,usdc,usdt,sol
2026-08-16T04:30:45Z,1.8480387487687e-05,0.0,0.0,0.043911143
2026-08-16T04:45:01Z,1.8480387487687e-05,0.0,0.0,0.043911143
2026-08-16T04:54:05Z,0.005864394690610187,0.0,0.0,0.043911143
2026-08-16T05:00:02Z,0.005864394690610187,0.0,0.0,0.043911143
2026-08-16T05:15:01Z,0.005864394690610187,0.0,0.0,0.043911143
2026-08-16T05:30:01Z,0.005864394690610187,0.0,0.0,0.043911143
2026-08-16T05:45:01Z,0.005864394690610187,0.0,0.0,0.043911143
2026-08-16T06:00:02Z,0.005864394690610187,0.0,0.0,0.043911143
2026-08-16T06:15:01Z,0.005864394690610187,0.0,0.0,0.043911143
2026-08-16T06:30:02Z,0.005864394690610187,0.0,0.0,0.043911143
2026-08-16T06:45:01Z,0.005864394690610187,0.0,0.0,0.043911143
2026-08-16T07:00:01Z,0.005864394690610187,0.0,0.0,0.043911143
2026-08-16T07:15:02Z,0.005864394690610187,0.0,0.0,0.043911143
2026-08-16T07:30:01Z,0.005864394690610187,0.0,0.0,0.043911143
2026-08-16T07:45:01Z,0.005864394690610187,0.0,0.0,0.043911143
2026-08-16T08:00:01Z,0.005864394690610187,0.0,0.0,0.043911143
2026-08-16T08:15:01Z,0.005864394690610187,0.0,0.0,0.043911143
2026-08-16T08:30:01Z,0.005864394690610187,0.0,0.0,0.043911143
2026-08-16T08:45:01Z,0.005864394690610187,0.0,0.0,0.043911143
2026-08-16T09:00:02Z,0.005864394690610187,0.0,0.0,0.043911143
2026-08-16T09:15:02Z,0.005864394690610187,0.0,0.0,0.043911143
2026-08-16T09:30:01Z,0.005864394690610187,0.0,0.0,0.043911143
2026-08-16T09:45:02Z,0.005864394690610187,0.0,0.0,0.043911143
2026-08-16T10:00:01Z,0.005864394690610187,0.0,0.0,0.043911143
2026-08-16T10:15:01Z,0.005864394690610187,0.0,0.0,0.043911143
